accession	assembly_name	sample_accession	scientific_name	base_count
GCA_054049135	ASM5404913v1	SAMN42779448	Kitasatospora sp. P5_F3	8084501
GCA_054049155	ASM5404915v1	SAMN42779447	Kitasatospora sp. P5_F2	6506003
GCA_054049175	ASM5404917v1	SAMN42779445	Microbacterium sp. P5_E9	4391171
GCA_054049195	ASM5404919v1	SAMN42779446	Piscinibacter sp. P5_F1	6522455
GCA_054049215	ASM5404921v1	SAMN42779443	Roseateles sp. P5_E7	6158322
GCA_054049235	ASM5404923v1	SAMN42779442	Polaromonas sp. P5_E6	4901403
GCA_054049255	ASM5404925v1	SAMN42779441	Roseateles sp. P5_E4	6450287
GCA_054049275	ASM5404927v1	SAMN42779440	Nocardioides sp. P5_E3	4734472
GCA_054049295	ASM5404929v1	SAMN42779439	Burkholderiaceae bacterium P5_E2	6358751
GCA_054049315	ASM5404931v1	SAMN42779438	Cellulomonas sp. P5_E12	4184370
GCA_054049335	ASM5404933v1	SAMN42779436	Roseateles sp. P5_E1	6829493
GCA_054049355	ASM5404935v1	SAMN42779437	Roseateles sp. P5_E11	6746469
GCA_054049375	ASM5404937v1	SAMN42779435	Burkholderiaceae bacterium P5_D8	6541530
GCA_054049395	ASM5404939v1	SAMN42779434	Burkholderiaceae bacterium P5_D7	7150213
GCA_054049415	ASM5404941v1	SAMN42779433	Roseateles sp. P5_D6	6646851
GCA_054049435	ASM5404943v1	SAMN42779432	Polaromonas sp. P5_D5	4862672
GCA_054049455	ASM5404945v1	SAMN42779431	Paenibacillus sp. P5_D4	6525555
GCA_054049475	ASM5404947v1	SAMN42779430	Microvirga sp. P5_D2	6384138
GCA_054049495	ASM5404949v1	SAMN42779429	Phyllobacterium sp. P5_D12	5450418
GCA_054049515	ASM5404951v1	SAMN42779428	Streptomyces sp. P5_D11	9448274
GCA_054049535	ASM5404953v1	SAMN42779427	Aeromicrobium sp. P5_D10	4543371
GCA_054049555	ASM5404955v1	SAMN42779426	Nocardioides sp. P5_C9_2	4013893
GCA_054049575	ASM5404957v1	SAMN42779425	Burkholderiaceae bacterium P5_C9	6574840
GCA_054049595	ASM5404959v1	SAMN42779423	Tardiphaga sp. P5_C7	6293090
GCA_054049615	ASM5404961v1	SAMN42779424	Burkholderiaceae bacterium P5_C8	6158994
GCA_054049635	ASM5404963v1	SAMN42779422	Cellulomonas sp. P5_C6	4305270
GCA_054049655	ASM5404965v1	SAMN42779421	Cellulomonas sp. P5_C5	4694094
GCA_054049675	ASM5404967v1	SAMN42779419	Pseudomonas sp. P5_C3	6367912
GCA_054049695	ASM5404969v1	SAMN42779420	Lysobacter sp. P5_C4	3230967
GCA_054049715	ASM5404971v1	SAMN42779418	Rhizobacter sp. P5_C2	7079553
GCA_054049735	ASM5404973v1	SAMN42779417	Bradyrhizobium sp. P5_C12	8045492
GCA_054049755	ASM5404975v1	SAMN42779416	Bradyrhizobium sp. P5_C11_2	8274162
GCA_054049775	ASM5404977v1	SAMN42779415	Methylobacterium sp. P5_C11	5720869
GCA_054049795	ASM5404979v1	SAMN42779414	Tardiphaga sp. P5_C10	6078276
GCA_054049815	ASM5404981v1	SAMN42779413	Mesorhizobium sp. P5_C1	6844027
GCA_054049835	ASM5404983v1	SAMN42779412	Lysobacter sp. P5_B9	3491155
GCA_054049855	ASM5404985v1	SAMN42779411	Stenotrophomonas sp. P5_B8	4507621
GCA_054049875	ASM5404987v1	SAMN42779410	Usitatibacteraceae bacterium P5_B7_2	4750860
GCA_054049895	ASM5404989v1	SAMN42779409	Pedococcus sp. P5_B7	4274547
GCA_054177665	ASM5417766v1	SAMN42779444	Roseateles sp. P5_E8	6195849
GCA_054177685	ASM5417768v1	SAMN42779392	Pseudomonas sp. P5_A2_2	5900258
GCA_054177705	ASM5417770v1	SAMN42779354	Paenibacillus sp. P4_F12	7114739
