accession	assembly_name	sample_accession	scientific_name	base_count
GCA_052113145	ASM5211314v1	SAMN42732147	Bacillus sp. YAF8	3784230
GCA_052113185	ASM5211318v1	SAMN42732146	Leifsonia sp. YAF41	4151440
GCA_052113205	ASM5211320v1	SAMN42732144	Inquilinus sp. YAF38	7631514
GCA_052113225	ASM5211322v1	SAMN42732145	Paenibacillus sp. YAF4_2	6291777
GCA_052113245	ASM5211324v1	SAMN42732143	Arthrobacter sp. YAF34	4263885
GCA_052113265	ASM5211326v1	SAMN42732142	Novosphingobium sp. YAF33	5927869
GCA_052113285	ASM5211328v1	SAMN42732141	Rhizobium sp. YAF28	6693589
GCA_052113305	ASM5211330v1	SAMN42732140	Terriglobus sp. YAF25	5574739
GCA_052113325	ASM5211332v1	SAMN42732139	Janibacter sp. YAF2_2	3147611
GCA_052113345	ASM5211334v1	SAMN42732138	Pseudarthrobacter sp. YAF2	4621849
GCA_052113365	ASM5211336v1	SAMN42732137	Arthrobacter sp. YAF17	4107163
GCA_052113385	ASM5211338v1	SAMN42732136	Arthrobacter sp. YAF16	3628328
GCA_052113405	ASM5211340v1	SAMN42732134	Bacillus sp. YAF12_1	5987367
GCA_052113425	ASM5211342v1	SAMN42732135	Cupriavidus sp. YAF13	8817287
GCA_052113445	ASM5211344v1	SAMN42732133	Paenarthrobacter sp. YAF11_1	4945439
GCA_052113465	ASM5211346v1	SAMN42732132	Pseudomonas sp. TAF7	6503037
GCA_052113485	ASM5211348v1	SAMN42732131	Lysobacter sp. TAF61	3868614
GCA_052113505	ASM5211350v1	SAMN42732130	Pseudarthrobacter sp. TAF60_1	4367851
GCA_052113525	ASM5211352v1	SAMN42732127	Rhodococcus sp. TAF43	6032747
GCA_052113545	ASM5211354v1	SAMN42732128	Paenibacillus sp. TAF43_2	7411731
GCA_052113585	ASM5211358v1	SAMN42732126	Allobosea sp. TAF32	5843439
GCA_052113785	ASM5211378v1	SAMN42732125	Phyllobacterium sp. TAF24	5446027
GCA_052113805	ASM5211380v1	SAMN42732129	Paenibacillus sp. TAF58	7532473
GCA_052113825	ASM5211382v1	SAMN42732124	Paenarthrobacter sp. TAF1	4550972
GCA_052113845	ASM5211384v1	SAMN42732123	Stenotrophomonas sp. TAB6	4521093
GCA_052113865	ASM5211386v1	SAMN42732122	Allobosea sp. TAB14	5566822
GCA_052113885	ASM5211388v1	SAMN42732121	Lysobacter sp. TAB13	6167991
GCA_052113905	ASM5211390v1	SAMN42732120	Paenarthrobacter sp. RAF9	4037666
GCA_052113925	ASM5211392v1	SAMN42732119	Terrabacter sp. RAF57	4884266
GCA_052113945	ASM5211394v1	SAMN42732117	Paenarthrobacter sp. RAF54_2	5546528
GCA_052113965	ASM5211396v1	SAMN42732118	Rhizobium sp. RAF56	5944358
GCA_052113985	ASM5211398v1	SAMN42732116	Pseudoduganella sp. RAF53_2	6365101
GCA_052114005	ASM5211400v1	SAMN42732115	Marmoricola sp. RAF53	4316008
GCA_052114025	ASM5211402v1	SAMN42732113	Allobosea sp. RAF48	6222578
GCA_052114035	ASM5211403v1	SAMN42732114	Janibacter sp. RAF52	3151261
GCA_052114065	ASM5211406v1	SAMN42732112	Specibacter sp. RAF43	3607834
GCA_052114085	ASM5211408v1	SAMN42732111	Leifsonia sp. RAF41	3647809
GCA_052114105	ASM5211410v1	SAMN42732110	Rhizobium sp. RAF36	5972087
GCA_052114125	ASM5211412v1	SAMN42732108	Cupriavidus sp. RAF20_2	5933307
GCA_052114145	ASM5211414v1	SAMN42732109	Janibacter sp. RAF20_2_2	2826952
GCA_052114165	ASM5211416v1	SAMN42732107	Pseudoduganella sp. RAF19	6586838
GCA_052114185	ASM5211418v1	SAMN42732106	Arthrobacter sp. RAF14	3619216
GCA_052114205	ASM5211420v1	SAMN42732105	Cupriavidus sp. RAF12	6757405
GCA_052114225	ASM5211422v1	SAMN42732104	Chitinophaga sp. RAB17	9271751
GCA_052114245	ASM5211424v1	SAMN42732102	Pseudomonas sp. PAB10	6292951
GCA_052114265	ASM5211426v1	SAMN42732101	Paenibacillus sp. MCAF9	7509865
GCA_052114285	ASM5211428v1	SAMN42732103	Achromobacter sp. PAB15	6664200
GCA_052114305	ASM5211430v1	SAMN42732100	Streptomyces sp. MCAF7	9827538
GCA_052114325	ASM5211432v1	SAMN42732098	Glutamicibacter sp. MCAF14	3706089
GCA_052114345	ASM5211434v1	SAMN42732099	Paenibacillus sp. MCAF20	6564083
GCA_052114365	ASM5211436v1	SAMN42732097	Agrobacterium sp. MCAB5	5958036
GCA_052114385	ASM5211438v1	SAMN42732096	Variovorax sp. M-6	7285088
GCA_052114405	ASM5211440v1	SAMN42732095	Streptomyces sp. M-16	9148561
GCA_052114425	ASM5211442v1	SAMN42732094	Brevundimonas sp. M-11_2	2988634
GCA_052114445	ASM5211444v1	SAMN42732093	Cupriavidus sp. M-11	8709157
GCA_052114465	ASM5211446v1	SAMN42732092	Arthrobacter sp. M-10	4639067
GCA_052114485	ASM5211448v1	SAMN42732091	Cupriavidus sp. KB_39	6337514
GCA_052114505	ASM5211450v1	SAMN42732090	Labrys sp. KB_33_2	7403828
GCA_052114525	ASM5211452v1	SAMN42732089	Pseudomonas sp. KB_15	6619799
GCA_052114545	ASM5211454v1	SAMN42732088	Pseudomonas sp. KB_12	6249593
GCA_052114565	ASM5211456v1	SAMN42732087	Mycobacterium sp. 2YAF39	5756524
GCA_052114585	ASM5211458v1	SAMN42732086	Pedococcus sp. 2YAF34	3979397
GCA_052114605	ASM5211460v1	SAMN42732085	Microvirga sp. 2YAF29	4122730
GCA_052114625	ASM5211462v1	SAMN42732084	Stenotrophomonas sp. 2YAF26	4517367
GCA_052114645	ASM5211464v1	SAMN42732083	Arthrobacter sp. 2YAF22_2	3745484
GCA_052114665	ASM5211466v1	SAMN42732082	Stenotrophomonas sp. 2YAF22	4389492
GCA_052114685	ASM5211468v1	SAMN42732081	Rhizobium sp. 2YAF20	7256817
GCA_052114705	ASM5211470v1	SAMN42732080	Terrabacter sp. 2YAF2	4774998
GCA_052114725	ASM5211472v1	SAMN42732079	Dyella sp. 2YAF14	4738015
GCA_052114745	ASM5211474v1	SAMN42732078	Brevundimonas sp. 2YAF1	3003069
GCA_052114765	ASM5211476v1	SAMN42732077	Terriglobus sp. 2YAB30_2	6011434
GCA_052114785	ASM5211478v1	SAMN42732076	Nocardia sp. 2YAB30	8065424
GCA_052114805	ASM5211480v1	SAMN42732075	Allobosea sp. 2YAB26	7452461
GCA_052114825	ASM5211482v1	SAMN42732073	Paenibacillus sp. 2TAF8	6746127
GCA_052114845	ASM5211484v1	SAMN42732074	Ensifer sp. 2YAB10	7625772
GCA_052114865	ASM5211486v1	SAMN42732072	Hyphomicrobium sp. 2TAF46	4809770
GCA_052114885	ASM5211488v1	SAMN42732071	Paenarthrobacter sp. 2TAF44	5358973
GCA_052114905	ASM5211490v1	SAMN42732070	Nocardia sp. 2TAF39	7052144
GCA_052114925	ASM5211492v1	SAMN42732069	Bradyrhizobium sp. 2TAF36	9301284
GCA_052114945	ASM5211494v1	SAMN42732068	Glaciibacter sp. 2TAF33	3752204
GCA_052114965	ASM5211496v1	SAMN42732067	Microvirga sp. 2TAF3	4426939
GCA_052114985	ASM5211498v1	SAMN42732066	Rhizobium sp. 2TAF27	7110671
GCA_052115005	ASM5211500v1	SAMN42732065	Massilia sp. 2TAF26	6003663
GCA_052115025	ASM5211502v1	SAMN42732064	Bradyrhizobium sp. 2TAF24	7119163
GCA_052115045	ASM5211504v1	SAMN42732063	Cupriavidus sp. 2TAF22	8812311
GCA_052115065	ASM5211506v1	SAMN42732061	Terrabacter sp. 2TAF16	4758906
GCA_052115085	ASM5211508v1	SAMN42732062	Leifsonia sp. 2TAF2	3985950
GCA_052115105	ASM5211510v1	SAMN42732060	Chryseobacterium sp. 2TAF14	3748260
GCA_052115125	ASM5211512v1	SAMN42732059	Ensifer sp. 2TAB8	7444956
GCA_052115145	ASM5211514v1	SAMN42732058	Paenibacillus sp. 2TAB26	8147870
GCA_052115165	ASM5211516v1	SAMN42732057	Paenibacillus sp. 2TAB23	7523233
GCA_052115185	ASM5211518v1	SAMN42732056	Paenibacillus sp. 2TAB19	7001714
GCA_052115205	ASM5211520v1	SAMN42732055	Arthrobacter sp. 2RAF6	5430936
GCA_052115225	ASM5211522v1	SAMN42732054	Mesorhizobium sp. 2RAF45	6799345
GCA_052115245	ASM5211524v1	SAMN42732053	Dyella sp. 2RAF44	4833526
GCA_052115265	ASM5211526v1	SAMN42732051	Terrabacter sp. 2RAF25	4787320
GCA_052115285	ASM5211528v1	SAMN42732052	Microbacterium sp. 2RAF4	3810801
GCA_052115305	ASM5211530v1	SAMN42732050	Streptomyces sp. 2RAF24	8540735
GCA_052115325	ASM5211532v1	SAMN42732049	Arthrobacter sp. 2RAF22	3350491
GCA_052115345	ASM5211534v1	SAMN42732048	Mesorhizobium sp. 2RAF21	6801295
